Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[WARN  2024-06-06T16:56:24,906 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,926 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,927 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,930 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,933 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,939 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,939 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,947 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,947 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,973 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,973 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,993 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,993 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,003 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
